Timestamp,Time_Left_Sec,Price_Stream,Strike_Price,Diff,Up_Price,Best_Bid,Best_Ask,Extra,Slug
2026-01-09T06:21:48.787351+00:00,491,90911.18,no_price_data,-,0.46,0.45,0.46,,btc-updown-15m-1767939300
2026-01-09T06:21:53.552295+00:00,486,90912.41,no_price_data,-,0.46,0.45,0.46,,btc-updown-15m-1767939300
2026-01-09T06:21:58.457228+00:00,482,90928.58,no_price_data,-,0.54,0.53,0.54,,btc-updown-15m-1767939300
2026-01-09T06:22:03.356665+00:00,477,90929.53,no_price_data,-,0.51,0.50,0.51,,btc-updown-15m-1767939300
2026-01-09T06:22:08.491078+00:00,472,90927.94,no_price_data,-,0.51,0.50,0.51,,btc-updown-15m-1767939300
2026-01-09T06:22:12.698377+00:00,467,90927.23,no_price_data,-,0.51,0.50,0.51,,btc-updown-15m-1767939300
2026-01-09T06:22:17.922952+00:00,462,90926.50,no_price_data,-,0.51,0.50,0.51,,btc-updown-15m-1767939300
2026-01-09T06:22:23.345280+00:00,457,90926.04,no_price_data,-,0.51,0.50,0.51,,btc-updown-15m-1767939300
2026-01-09T06:22:28.365491+00:00,452,90925.08,no_price_data,-,0.52,0.51,0.52,,btc-updown-15m-1767939300
2026-01-09T06:22:34.487457+00:00,446,90927.33,no_price_data,-,0.52,0.51,0.52,,btc-updown-15m-1767939300
2026-01-09T06:22:39.157021+00:00,441,90927.47,no_price_data,-,0.53,0.52,0.53,,btc-updown-15m-1767939300
2026-01-09T06:22:45.161516+00:00,435,90927.79,no_price_data,-,0.55,0.54,0.55,,btc-updown-15m-1767939300
2026-01-09T06:22:51.213000+00:00,429,90936.49,no_price_data,-,0.58,0.58,0.59,,btc-updown-15m-1767939300
2026-01-09T06:22:58.666102+00:00,421,90937.17,no_price_data,-,0.65,0.64,0.65,,btc-updown-15m-1767939300
2026-01-09T06:23:07.743921+00:00,412,90943.17,no_price_data,-,0.64,0.63,0.64,,btc-updown-15m-1767939300
2026-01-09T06:23:16.629899+00:00,403,90943.15,no_price_data,-,0.66,0.65,0.66,,btc-updown-15m-1767939300
2026-01-09T06:23:25.258867+00:00,395,90943.24,no_price_data,-,0.67,0.66,0.67,,btc-updown-15m-1767939300
2026-01-09T06:23:33.589398+00:00,386,90943.48,no_price_data,-,0.67,0.66,0.67,,btc-updown-15m-1767939300
2026-01-09T06:23:42.310162+00:00,378,90943.40,no_price_data,-,0.68,0.67,0.68,,btc-updown-15m-1767939300
2026-01-09T06:23:51.207601+00:00,369,90945.93,no_price_data,-,0.69,0.69,0.70,,btc-updown-15m-1767939300
2026-01-09T06:24:00.453513+00:00,360,90938.34,no_price_data,-,0.61,0.61,0.62,,btc-updown-15m-1767939300
2026-01-09T06:24:08.347216+00:00,352,90939.41,no_price_data,-,0.62,0.62,0.63,,btc-updown-15m-1767939300
2026-01-09T06:24:48.380583+00:00,312,90937.91,no_price_data,-,0.68,0.67,0.69,,btc-updown-15m-1767939300
2026-01-09T06:24:56.098906+00:00,304,90939.08,no_price_data,-,0.68,0.67,0.68,,btc-updown-15m-1767939300
2026-01-09T06:25:04.722879+00:00,295,90938.70,no_price_data,-,0.67,0.66,0.67,,btc-updown-15m-1767939300
2026-01-09T06:25:13.574714+00:00,286,90938.49,no_price_data,-,0.67,0.66,0.67,,btc-updown-15m-1767939300
2026-01-09T06:25:21.574177+00:00,278,90938.52,no_price_data,-,0.71,0.71,0.72,,btc-updown-15m-1767939300
2026-01-09T06:25:29.971656+00:00,270,90949.11,no_price_data,-,0.71,0.71,0.72,,btc-updown-15m-1767939300
2026-01-09T06:25:38.467635+00:00,262,90942.91,no_price_data,-,0.71,0.70,0.72,,btc-updown-15m-1767939300
2026-01-09T06:25:46.703904+00:00,253,90942.92,no_price_data,-,0.70,0.70,0.71,,btc-updown-15m-1767939300
2026-01-09T06:25:55.164900+00:00,245,90947.47,no_price_data,-,0.78,0.77,0.78,,btc-updown-15m-1767939300
2026-01-09T06:26:02.127726+00:00,238,90953.83,no_price_data,-,0.79,0.78,0.79,,btc-updown-15m-1767939300
2026-01-09T06:26:08.986476+00:00,231,90949.13,no_price_data,-,0.62,0.62,0.63,,btc-updown-15m-1767939300
2026-01-09T06:26:15.311726+00:00,225,90948.94,no_price_data,-,0.81,0.81,0.82,,btc-updown-15m-1767939300
2026-01-09T06:26:21.098138+00:00,219,90948.82,no_price_data,-,0.82,0.82,0.83,,btc-updown-15m-1767939300
2026-01-09T06:26:25.708551+00:00,214,90949.80,no_price_data,-,0.82,0.82,0.83,,btc-updown-15m-1767939300
2026-01-09T06:26:30.986113+00:00,209,90950.24,no_price_data,-,0.83,0.83,0.84,,btc-updown-15m-1767939300
2026-01-09T06:26:36.372505+00:00,204,90948.75,no_price_data,-,0.83,0.83,0.84,,btc-updown-15m-1767939300
2026-01-09T06:26:42.554322+00:00,197,90949.25,no_price_data,-,0.83,0.83,0.84,,btc-updown-15m-1767939300
2026-01-09T06:26:49.540874+00:00,190,90949.95,no_price_data,-,0.85,0.84,0.86,,btc-updown-15m-1767939300
2026-01-09T06:26:57.911585+00:00,182,90949.26,no_price_data,-,0.85,0.85,0.86,,btc-updown-15m-1767939300
2026-01-09T06:27:04.636773+00:00,175,90948.34,no_price_data,-,0.83,0.83,0.84,,btc-updown-15m-1767939300
2026-01-09T06:27:12.119076+00:00,168,90943.26,no_price_data,-,0.82,0.82,0.83,,btc-updown-15m-1767939300
2026-01-09T06:27:20.746477+00:00,159,90943.47,no_price_data,-,0.81,0.81,0.82,,btc-updown-15m-1767939300
2026-01-09T06:27:29.450063+00:00,151,90943.88,no_price_data,-,0.82,0.82,0.83,,btc-updown-15m-1767939300
2026-01-09T06:27:38.169207+00:00,142,90943.12,no_price_data,-,0.81,0.80,0.81,,btc-updown-15m-1767939300
2026-01-09T06:27:46.441796+00:00,134,90921.92,no_price_data,-,0.53,0.52,0.53,,btc-updown-15m-1767939300
2026-01-09T06:27:55.045016+00:00,125,90919.53,no_price_data,-,0.45,0.44,0.45,,btc-updown-15m-1767939300
2026-01-09T06:28:03.794317+00:00,116,90914.20,no_price_data,-,0.39,0.38,0.39,,btc-updown-15m-1767939300
2026-01-09T06:28:12.456050+00:00,108,90912.92,no_price_data,-,0.36,0.36,0.37,,btc-updown-15m-1767939300
2026-01-09T06:28:19.588209+00:00,100,90914.28,no_price_data,-,0.35,0.35,0.36,,btc-updown-15m-1767939300
2026-01-09T06:28:25.351536+00:00,95,90911.89,no_price_data,-,0.30,0.30,0.31,,btc-updown-15m-1767939300
2026-01-09T06:28:31.126237+00:00,89,90911.33,no_price_data,-,0.30,0.30,0.31,,btc-updown-15m-1767939300
2026-01-09T06:28:37.652871+00:00,82,90914.02,no_price_data,-,0.33,0.32,0.34,,btc-updown-15m-1767939300
2026-01-09T06:28:49.204445+00:00,71,90915.25,no_price_data,-,0.33,0.32,0.33,,btc-updown-15m-1767939300
2026-01-09T06:28:55.335319+00:00,65,90915.16,no_price_data,-,0.32,0.31,0.32,,btc-updown-15m-1767939300
2026-01-09T06:29:00.153617+00:00,60,90915.16,no_price_data,-,0.30,0.30,0.31,,btc-updown-15m-1767939300
2026-01-09T06:29:05.161198+00:00,55,90916.50,no_price_data,-,0.31,0.30,0.32,,btc-updown-15m-1767939300
2026-01-09T06:29:13.012471+00:00,47,90916.30,no_price_data,-,0.28,0.27,0.28,,btc-updown-15m-1767939300
2026-01-09T06:29:20.213548+00:00,40,90916.30,no_price_data,-,0.23,0.23,0.24,,btc-updown-15m-1767939300
2026-01-09T06:29:27.991000+00:00,32,90899.31,no_price_data,-,0.03,0.02,0.03,,btc-updown-15m-1767939300
2026-01-09T06:29:36.337835+00:00,24,90874.88,no_price_data,-,0.20,0.38,0.01,,btc-updown-15m-1767939300
2026-01-09T06:29:45.927425+00:00,14,90875.61,no_price_data,-,0.20,0.38,0.01,,btc-updown-15m-1767939300
2026-01-09T06:29:52.483301+00:00,8,90883.60,no_price_data,-,0.20,0.38,0.01,,btc-updown-15m-1767939300
2026-01-09T06:29:58.201953+00:00,2,90887.79,no_price_data,-,0.20,0.38,0.01,,btc-updown-15m-1767939300
2026-01-09T06:30:04.242163+00:00,896,90901.37,90881.26,20.11,0.57,0.57,0.58,,btc-updown-15m-1767940200
2026-01-09T06:30:08.887193+00:00,891,90897.09,90881.26,15.83,0.54,0.53,0.54,,btc-updown-15m-1767940200
2026-01-09T06:30:14.873982+00:00,885,90885.85,90881.26,4.59,0.54,0.53,0.54,,btc-updown-15m-1767940200
2026-01-09T06:30:24.847942+00:00,875,90885.23,90881.26,3.97,0.52,0.51,0.52,,btc-updown-15m-1767940200
2026-01-09T06:30:31.890891+00:00,868,90879.67,90881.26,-1.59,0.52,0.51,0.52,,btc-updown-15m-1767940200
2026-01-09T06:30:37.104446+00:00,863,90881.57,90881.26,0.31,0.49,0.49,0.50,,btc-updown-15m-1767940200
2026-01-09T06:30:45.309090+00:00,855,90878.24,90881.26,-3.02,0.49,0.49,0.50,,btc-updown-15m-1767940200
2026-01-09T06:30:54.262622+00:00,846,90876.74,90881.26,-4.52,0.51,0.50,0.51,,btc-updown-15m-1767940200
2026-01-09T06:31:03.459872+00:00,837,90879.39,90881.26,-1.87,0.51,0.50,0.51,,btc-updown-15m-1767940200
2026-01-09T06:31:11.641159+00:00,828,90900.54,90881.26,19.28,0.62,0.62,0.63,,btc-updown-15m-1767940200
2026-01-09T06:31:17.851287+00:00,822,90909.35,90881.26,28.09,0.61,0.61,0.62,,btc-updown-15m-1767940200
2026-01-09T06:31:22.919520+00:00,817,90909.32,90881.26,28.06,0.66,0.65,0.66,,btc-updown-15m-1767940200
2026-01-09T06:31:28.428666+00:00,812,90917.36,90881.26,36.10,0.65,0.64,0.65,,btc-updown-15m-1767940200
2026-01-09T06:31:34.166683+00:00,806,90912.77,90881.26,31.51,0.65,0.64,0.65,,btc-updown-15m-1767940200
2026-01-09T06:31:38.302529+00:00,802,90912.43,90881.26,31.17,0.65,0.64,0.65,,btc-updown-15m-1767940200
2026-01-09T06:31:43.677494+00:00,796,90912.17,90881.26,30.91,0.65,0.64,0.65,,btc-updown-15m-1767940200
2026-01-09T06:31:49.198291+00:00,791,90912.16,90881.26,30.90,0.65,0.64,0.65,,btc-updown-15m-1767940200
2026-01-09T06:31:53.807839+00:00,786,90912.21,90881.26,30.95,0.64,0.63,0.64,,btc-updown-15m-1767940200
2026-01-09T06:32:00.320885+00:00,780,90911.05,90881.26,29.79,0.55,0.54,0.55,,btc-updown-15m-1767940200
2026-01-09T06:32:06.240508+00:00,774,90896.55,90881.26,15.29,0.56,0.56,0.57,,btc-updown-15m-1767940200
2026-01-09T06:32:10.839872+00:00,769,90894.61,90881.26,13.35,0.56,0.56,0.57,,btc-updown-15m-1767940200
2026-01-09T06:32:16.446837+00:00,764,90894.56,90881.26,13.30,0.56,0.56,0.57,,btc-updown-15m-1767940200
2026-01-09T06:32:21.371317+00:00,759,90893.72,90881.26,12.46,0.58,0.58,0.59,,btc-updown-15m-1767940200
2026-01-09T06:32:25.682352+00:00,754,90901.82,90881.26,20.56,0.56,0.55,0.56,,btc-updown-15m-1767940200
2026-01-09T06:32:31.394322+00:00,749,90892.32,90881.26,11.06,0.56,0.55,0.56,,btc-updown-15m-1767940200
2026-01-09T06:32:35.882158+00:00,744,90891.50,90881.26,10.24,0.56,0.56,0.57,,btc-updown-15m-1767940200
2026-01-09T06:32:41.192787+00:00,739,90896.98,90881.26,15.72,0.57,0.57,0.58,,btc-updown-15m-1767940200
2026-01-09T06:32:45.242274+00:00,735,90897.65,90881.26,16.39,0.58,0.58,0.59,,btc-updown-15m-1767940200
2026-01-09T06:32:49.995410+00:00,730,90904.74,90881.26,23.48,0.58,0.58,0.59,,btc-updown-15m-1767940200
2026-01-09T06:32:54.447956+00:00,726,90910.52,90881.26,29.26,0.65,0.64,0.65,,btc-updown-15m-1767940200
2026-01-09T06:32:58.039545+00:00,722,90908.36,90881.26,27.10,0.65,0.64,0.65,,btc-updown-15m-1767940200
