Timestamp,Time_Left_Sec,Price_Stream,Strike_Price,Diff,Up_Price,Best_Bid,Best_Ask,Extra,Slug
2026-01-09T06:22:01.541144+00:00,478,3116.25,no_price_data,-,0.69,0.68,0.69,,eth-updown-15m-1767939300
2026-01-09T06:22:05.827399+00:00,474,3116.26,no_price_data,-,0.69,0.69,0.70,,eth-updown-15m-1767939300
2026-01-09T06:22:11.321112+00:00,469,3116.34,no_price_data,-,0.69,0.69,0.70,,eth-updown-15m-1767939300
2026-01-09T06:22:15.335803+00:00,465,3116.36,no_price_data,-,0.69,0.69,0.70,,eth-updown-15m-1767939300
2026-01-09T06:22:20.231364+00:00,460,3116.36,no_price_data,-,0.70,0.70,0.71,,eth-updown-15m-1767939300
2026-01-09T06:22:25.175177+00:00,455,3116.35,no_price_data,-,0.71,0.71,0.72,,eth-updown-15m-1767939300
2026-01-09T06:22:30.550969+00:00,449,3116.32,no_price_data,-,0.72,0.72,0.73,,eth-updown-15m-1767939300
2026-01-09T06:22:35.815162+00:00,444,3116.55,no_price_data,-,0.73,0.73,0.74,,eth-updown-15m-1767939300
2026-01-09T06:22:40.198002+00:00,440,3116.56,no_price_data,-,0.73,0.73,0.74,,eth-updown-15m-1767939300
2026-01-09T06:22:45.153381+00:00,435,3116.61,no_price_data,-,0.77,0.76,0.77,,eth-updown-15m-1767939300
2026-01-09T06:22:51.178828+00:00,429,3116.94,no_price_data,-,0.79,0.78,0.79,,eth-updown-15m-1767939300
2026-01-09T06:22:58.680418+00:00,421,3117.25,no_price_data,-,0.82,0.82,0.83,,eth-updown-15m-1767939300
2026-01-09T06:23:07.296115+00:00,413,3117.40,no_price_data,-,0.81,0.81,0.82,,eth-updown-15m-1767939300
2026-01-09T06:23:14.740814+00:00,405,3117.38,no_price_data,-,0.81,0.81,0.82,,eth-updown-15m-1767939300
2026-01-09T06:23:21.718098+00:00,398,3117.42,no_price_data,-,0.82,0.82,0.83,,eth-updown-15m-1767939300
2026-01-09T06:23:29.566439+00:00,390,3117.42,no_price_data,-,0.82,0.82,0.83,,eth-updown-15m-1767939300
2026-01-09T06:23:38.030713+00:00,382,3117.36,no_price_data,-,0.82,0.82,0.83,,eth-updown-15m-1767939300
2026-01-09T06:23:46.336568+00:00,374,3117.34,no_price_data,-,0.82,0.82,0.83,,eth-updown-15m-1767939300
2026-01-09T06:23:55.256295+00:00,365,3117.49,no_price_data,-,0.77,0.76,0.77,,eth-updown-15m-1767939300
2026-01-09T06:24:04.125507+00:00,356,3116.01,no_price_data,-,0.71,0.71,0.72,,eth-updown-15m-1767939300
2026-01-09T06:24:13.482720+00:00,347,3116.15,no_price_data,-,0.69,0.69,0.70,,eth-updown-15m-1767939300
2026-01-09T06:24:26.751594+00:00,333,3116.21,no_price_data,-,0.69,0.69,0.70,,eth-updown-15m-1767939300
2026-01-09T06:24:34.588124+00:00,325,3116.21,no_price_data,-,0.69,0.69,0.70,,eth-updown-15m-1767939300
2026-01-09T06:24:51.289454+00:00,309,3116.15,no_price_data,-,0.73,0.73,0.74,,eth-updown-15m-1767939300
2026-01-09T06:25:00.879657+00:00,299,3116.13,no_price_data,-,0.73,0.73,0.74,,eth-updown-15m-1767939300
