Timestamp,Time_Left_Sec,Price_Stream,Strike_Price,Diff,Up_Price,Best_Bid,Best_Ask,Extra,Slug
2026-01-09T06:29:12.880542+00:00,47,2.13,no_price_data,-,0.89,0.86,0.92,,xrp-updown-15m-1767939300
2026-01-09T06:29:23.744563+00:00,36,2.13,no_price_data,-,0.74,0.70,0.79,,xrp-updown-15m-1767939300
2026-01-09T06:29:34.686528+00:00,25,2.13,no_price_data,-,0.47,0.46,0.49,,xrp-updown-15m-1767939300
2026-01-09T06:29:48.532885+00:00,11,2.13,no_price_data,-,0.77,0.71,0.83,,xrp-updown-15m-1767939300
2026-01-09T06:29:54.501083+00:00,5,2.13,no_price_data,-,0.75,0.55,0.95,,xrp-updown-15m-1767939300
2026-01-09T06:30:00.092767+00:00,-0,2.13,no_price_data,-,0.70,0.99,0.40,,xrp-updown-15m-1767939300
2026-01-09T06:30:05.434485+00:00,895,2.13,no_price_data,-,0.51,0.50,0.51,,xrp-updown-15m-1767940200
2026-01-09T06:30:12.491230+00:00,888,2.13,no_price_data,-,0.46,0.46,0.47,,xrp-updown-15m-1767940200
2026-01-09T06:30:18.620322+00:00,881,2.13,no_price_data,-,0.46,0.46,0.47,,xrp-updown-15m-1767940200
2026-01-09T06:30:24.927606+00:00,875,2.13,no_price_data,-,0.47,0.46,0.49,,xrp-updown-15m-1767940200
2026-01-09T06:30:31.186251+00:00,869,2.13,no_price_data,-,0.49,0.49,0.50,,xrp-updown-15m-1767940200
2026-01-09T06:30:37.622824+00:00,862,2.13,no_price_data,-,0.49,0.49,0.50,,xrp-updown-15m-1767940200
2026-01-09T06:30:44.797969+00:00,855,2.13,no_price_data,-,0.52,0.51,0.52,,xrp-updown-15m-1767940200
2026-01-09T06:30:51.678337+00:00,848,2.13,no_price_data,-,0.52,0.51,0.52,,xrp-updown-15m-1767940200
2026-01-09T06:31:00.314559+00:00,840,2.13,no_price_data,-,0.53,0.52,0.53,,xrp-updown-15m-1767940200
2026-01-09T06:31:08.680842+00:00,831,2.13,no_price_data,-,0.58,0.58,0.59,,xrp-updown-15m-1767940200
2026-01-09T06:31:15.252746+00:00,825,2.13,no_price_data,-,0.59,0.59,0.60,,xrp-updown-15m-1767940200
2026-01-09T06:31:21.033649+00:00,819,2.13,no_price_data,-,0.59,0.59,0.60,,xrp-updown-15m-1767940200
2026-01-09T06:31:25.448571+00:00,815,2.13,no_price_data,-,0.59,0.59,0.60,,xrp-updown-15m-1767940200
2026-01-09T06:31:32.109978+00:00,808,2.13,no_price_data,-,0.56,0.56,0.57,,xrp-updown-15m-1767940200
2026-01-09T06:31:38.402743+00:00,802,2.13,no_price_data,-,0.58,0.58,0.59,,xrp-updown-15m-1767940200
2026-01-09T06:31:46.754926+00:00,793,2.13,no_price_data,-,0.58,0.57,0.60,,xrp-updown-15m-1767940200
2026-01-09T08:11:16.358892+00:00,224,2.1177,no_price_data,-,0.48,0.48,0.49,,xrp-updown-15m-1767945600
2026-01-09T08:11:21.061136+00:00,219,2.1173,no_price_data,-,0.58,0.58,0.59,,xrp-updown-15m-1767945600
