Timestamp,Time_Left_Sec,Price_Stream,Strike_Price,Diff,Up_Price,Best_Bid,Best_Ask,Extra,Slug
2026-01-09T05:02:09.081925+00:00,771,139.73,no_price_data,-,0.69,0.69,0.70,,sol-updown-15m-1767934800
2026-01-09T05:02:13.631623+00:00,766,139.73,no_price_data,-,0.72,0.72,0.73,,sol-updown-15m-1767934800
2026-01-09T05:02:17.654531+00:00,762,139.75,no_price_data,-,0.72,0.72,0.73,,sol-updown-15m-1767934800
2026-01-09T05:02:21.652985+00:00,758,139.76,no_price_data,-,0.73,0.73,0.74,,sol-updown-15m-1767934800
2026-01-09T05:02:27.256669+00:00,753,139.76,no_price_data,-,0.74,0.73,0.75,,sol-updown-15m-1767934800
2026-01-09T05:02:33.085252+00:00,747,139.76,no_price_data,-,0.73,0.73,0.74,,sol-updown-15m-1767934800
2026-01-09T05:02:37.054119+00:00,743,139.76,no_price_data,-,0.74,0.74,0.75,,sol-updown-15m-1767934800
2026-01-09T05:02:41.011964+00:00,739,139.76,no_price_data,-,0.74,0.74,0.75,,sol-updown-15m-1767934800
2026-01-09T05:02:45.369070+00:00,735,139.76,no_price_data,-,0.75,0.74,0.76,,sol-updown-15m-1767934800
2026-01-09T05:02:49.577364+00:00,730,139.76,no_price_data,-,0.79,0.78,0.79,,sol-updown-15m-1767934800
2026-01-09T05:02:54.322926+00:00,726,139.80,no_price_data,-,0.79,0.78,0.79,,sol-updown-15m-1767934800
2026-01-09T05:02:59.315577+00:00,721,139.79,no_price_data,-,0.80,0.79,0.80,,sol-updown-15m-1767934800
2026-01-09T05:03:04.389052+00:00,716,139.82,no_price_data,-,0.81,0.81,0.82,,sol-updown-15m-1767934800
2026-01-09T05:03:09.542450+00:00,710,139.83,no_price_data,-,0.84,0.83,0.85,,sol-updown-15m-1767934800
2026-01-09T05:03:14.299322+00:00,706,139.87,no_price_data,-,0.83,0.83,0.84,,sol-updown-15m-1767934800
2026-01-09T05:03:18.946785+00:00,701,139.86,no_price_data,-,0.84,0.83,0.85,,sol-updown-15m-1767934800
2026-01-09T05:03:24.200995+00:00,696,139.86,no_price_data,-,0.84,0.83,0.85,,sol-updown-15m-1767934800
2026-01-09T05:03:29.459484+00:00,691,139.85,no_price_data,-,0.83,0.83,0.84,,sol-updown-15m-1767934800
2026-01-09T05:03:34.026757+00:00,686,139.85,no_price_data,-,0.83,0.82,0.84,,sol-updown-15m-1767934800
2026-01-09T05:03:39.626135+00:00,680,139.85,no_price_data,-,0.83,0.82,0.84,,sol-updown-15m-1767934800
2026-01-09T05:03:44.810791+00:00,675,139.84,no_price_data,-,0.85,0.85,0.86,,sol-updown-15m-1767934800
2026-01-09T05:03:50.076921+00:00,670,139.88,no_price_data,-,0.88,0.87,0.88,,sol-updown-15m-1767934800
